location,date,percent_infected,percent_vaccinated
Ecuador,2021-04-30,2.16,2.86
Egypt,2021-04-30,0.22,
El Salvador,2021-04-30,1.07,9.06
Equatorial Guinea,2021-04-30,0.55,
Eritrea,2021-04-30,0.1,
Estonia,2021-04-30,9.2,34.62
Eswatini,2021-04-30,1.59,0.12
Ethiopia,2021-04-30,0.22,
Faeroe Islands,2021-04-28,,12.95
Falkland Islands,2021-04-14,,
Fiji,2021-04-30,0.01,3.16
Finland,2021-04-30,1.57,25.58
France,2021-04-30,8.33,31.58
Gabon,2021-04-30,1.04,
Gambia,2021-04-30,0.24,
Georgia,2021-04-30,7.78,0.52
Germany,2021-04-30,4.06,34.31
Ghana,2021-04-30,0.3,0.39
Gibraltar,2021-04-30,,182.12
Greece,2021-04-30,3.31,25.3
Greenland,2021-04-29,,6.47
Grenada,2021-04-30,0.14,0.3
Guatemala,2021-04-30,1.27,0.83
Guernsey,2021-04-20,,
Guinea,2021-04-30,0.17,0.21
Guinea-Bissau,2021-04-30,0.19,
Guyana,2021-04-30,1.69,
Haiti,2021-04-30,0.11,
Honduras,2021-04-30,2.14,0.22
Hong Kong,2021-04-30,,18.86
Hungary,2021-04-30,8.07,56.1
Iceland,2021-04-30,1.9,14.15
India,2021-04-30,1.39,10.33
Indonesia,2021-04-30,0.61,4.51
Iran,2021-04-30,2.98,0.24
Iraq,2021-04-30,2.65,0.02
Ireland,2021-04-30,5.04,21.46
Isle of Man,2021-04-29,,53.15
Israel,2021-04-30,9.69,121.28
Italy,2021-04-30,6.65,32.98
Jamaica,2021-04-30,1.54,0.13
Japan,2021-04-30,0.47,1.98
Jersey,2021-04-25,,
Jordan,2021-04-30,6.97,
Kazakhstan,2021-04-30,2.0,2.6
Kenya,2021-04-30,0.3,0.15
Kosovo,2021-04-30,5.36,0.09
Kuwait,2021-04-30,6.42,
Kyrgyzstan,2021-04-30,1.46,
Laos,2021-04-30,0.01,0.14
Latvia,2021-04-30,6.29,16.21
Lebanon,2021-04-30,7.71,5.62
Lesotho,2021-04-30,0.5,
Liberia,2021-04-30,0.04,
Libya,2021-04-30,2.58,
Liechtenstein,2021-04-30,7.67,32.04
Lithuania,2021-04-30,9.08,35.55
Luxembourg,2021-04-30,10.74,19.96
Macao,2021-04-29,,14.06
Madagascar,2021-04-30,0.13,
Malawi,2021-04-30,0.18,0.91
Malaysia,2021-04-30,1.26,4.31
Maldives,2021-04-30,5.52,69.74
Mali,2021-04-30,0.07,
Malta,2021-04-30,6.86,71.91
Marshall Islands,2021-04-30,0.01,
Mauritania,2021-04-30,0.4,
Mauritius,2021-04-30,0.1,
Mexico,2021-04-30,1.82,12.56
Micronesia (country),2021-04-30,0.0,
Moldova,2021-04-30,6.22,2.3
Monaco,2021-04-30,6.25,
Mongolia,2021-04-30,1.14,19.65
Montenegro,2021-04-30,15.51,8.87
Montserrat,2021-04-21,,
Morocco,2021-04-30,1.39,20.1
Mozambique,2021-04-30,0.22,
Myanmar,2021-04-30,0.26,0.01
Namibia,2021-04-30,1.9,0.42
Nauru,2021-04-15,,1.55
Nepal,2021-04-30,1.11,0.8
Netherlands,2021-04-30,8.89,0.99
New Zealand,2021-04-30,0.05,4.82
Nicaragua,2021-04-30,0.1,
Niger,2021-04-30,0.02,
Nigeria,2021-04-30,0.08,0.11
North Macedonia,2021-04-30,7.31,1.21
Norway,2021-04-30,2.08,31.37
