continent,location,date,population,new_cases,new_vaccinations,total_vaccinations,RollingPeopleInfected,RollingPeopleVaccinated,percent_infected,percent_vaccinated
Europe,Latvia,2020-12-29,1886202,838,873,1468,37676,873,2.0,0.05
Europe,Latvia,2020-12-30,1886202,1367,791,2259,39043,1664,2.07,0.09
Europe,Latvia,2021-01-04,1886202,621,,2958,43118,1664,2.29,0.09
Europe,Latvia,2021-01-05,1886202,824,889,3847,43942,2553,2.33,0.14
Europe,Latvia,2021-01-06,1886202,1229,776,4623,45171,3329,2.39,0.18
Europe,Latvia,2021-01-07,1886202,1374,809,5432,46545,4138,2.47,0.22
Europe,Latvia,2021-01-08,1886202,1237,906,6338,47782,5044,2.53,0.27
Europe,Latvia,2021-01-09,1886202,1170,305,6643,48952,5349,2.6,0.28
Europe,Latvia,2021-01-10,1886202,616,336,6979,49568,5685,2.63,0.3
Europe,Latvia,2021-01-11,1886202,331,1367,8346,49899,7052,2.65,0.37
Europe,Latvia,2021-01-12,1886202,878,1627,9973,50777,8679,2.69,0.46
Europe,Latvia,2021-01-13,1886202,1255,1513,11486,52032,10192,2.76,0.54
Europe,Latvia,2021-01-14,1886202,950,1822,13308,52982,12014,2.81,0.64
Europe,Latvia,2021-01-15,1886202,1084,1874,15182,54066,13888,2.87,0.74
Europe,Latvia,2021-01-16,1886202,1031,668,15850,55097,14556,2.92,0.77
Europe,Latvia,2021-01-17,1886202,567,117,15967,55664,14673,2.95,0.78
Europe,Latvia,2021-01-18,1886202,244,844,16811,55908,15517,2.96,0.82
Europe,Latvia,2021-01-19,1886202,812,876,17687,56720,16393,3.01,0.87
Europe,Latvia,2021-01-20,1886202,1088,770,18457,57808,17163,3.06,0.91
Europe,Latvia,2021-01-21,1886202,902,279,18736,58710,17442,3.11,0.92
Europe,Latvia,2021-01-22,1886202,876,216,18952,59586,17658,3.16,0.94
Europe,Latvia,2021-01-23,1886202,910,126,19078,60496,17784,3.21,0.94
Europe,Latvia,2021-01-25,1886202,223,,19745,61231,17784,3.25,0.94
